id,Flag,bat_name_counterpart,bat_category_type,fermi_name_counterpart,fermi_name_counterpart2,fermi_category_type,separation,bat_id,bat_pindex,bat_pindex_errm,bat_pindex_errp,bat_flux,bat_flux_errm,bat_flux_errp,bat_ra,bat_dec,bat_redshift,fermi_id,fermi_pindex_PL,fermi_pindex_PL_err,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_var_index,fermi_ra,fermi_dec,match_with_1FLE,match_4FGLand1FLE_IDmatch,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
138,M,8C 1849+670,Beamed AGN,S4 1849+67,,FSRQ,0.086982688,1550,2.72,0.72,1.06,6.39E-12,1.90E-12,1.54E-12,282.125,67.048,0.657,4647,2.294910669,0.013779507,4.42E-11,1.12E-12,1.12E-12,1860.47229,282.3192139,67.09089661,0,0,1.72,0.03,0.103,0.00574,7.22E-06,9.01E-07,2.7,12,2.56,,2.08,0.00357,9910,110000,8.79E-13,,114,11,5.15E-12,LP
139,M,RBS 0315,Beamed AGN,TXS 0222+185,,fsrq,0.089499541,124,1.73,0.22,0.22,3.14E-11,2.91E-12,3.47E-12,36.257,18.805,2.69,512,2.950624228,0.104640238,4.99E-12,6.66E-13,6.66E-13,52.2118988,36.22940063,18.71940041,0,0,2.04,0.04,0.15,0.0245,1.21E-05,2.79E-06,1.6,8,1.72,0.133,2.97,0.149,10400000,7870000,2.63E-11,1.18E-11,1.9,7,4.36E-10,LP
140,M,4C +32.14,Beamed AGN,NRAO 140,,fsrq,0.121342223,187,1.67,0.17,0.16,4.42E-11,3.05E-12,3.16E-12,54.122,32.291,1.258,750,2.800158024,0.053453662,1.29E-11,1.13E-12,1.13E-12,46.10672379,54.10150146,32.41109848,0,0,1.98,0.02,0.14,0.0134,1.91E-05,2.51E-06,1.6,10,1.66,0.0999,2.78,0.0556,7400000,3900000,4.35E-11,1.45E-11,2.6,9,1.48E-10,LP
141,M,PKS 2008-159,Beamed AGN,PKS 2008-159,,fsrq,0.083366647,1067,2.41,0.55,0.72,1.26E-11,3.27E-12,2.92E-12,302.833,-15.75,1.18,5024,2.816477299,0.115955532,4.79E-12,8.34E-13,8.34E-13,17.53063393,302.9158936,-15.77420044,0,0,2.1,0.08,0.0669,0.0461,3.66E-06,1.75E-06,0.9,8,2.16,0.0251,4.89,21.9,1300000000,3000000000,3.34E-12,3.88E-13,0.7,7,1.77E-10,LP
142,M,PKS 2052-47,Beamed AGN,PKS 2052-47,,fsrq,0.182886707,1092,2.19,0.36,0.41,1.83E-11,2.82E-12,2.23E-12,313.824,-47.165,1.489,5203,2.45347476,0.012663396,5.98E-11,1.05E-12,1.05E-12,1325.439697,314.0715027,-47.23690033,0,1,1.75,0.02,0.127,0.00407,1.81E-05,1.12E-06,3.4,12,1.88,0.0127,2.66,0.0184,320000000,18900000,1.17E-11,7.40E-13,3,11,2.49E-11,LP
143,M,PKS 2145+06,Beamed AGN,PKS 2145+06,,fsrq,0.142307948,1125,1.9,0.37,0.43,1.74E-11,3.50E-12,2.63E-12,327.032,6.936,0.99,5373,2.803585768,0.082953431,5.41E-12,7.22E-13,7.22E-13,39.34292984,327.1633911,6.879099846,0,0,2,0.04,0.131,0.0231,7.64E-06,1.83E-06,0.8,9,1.91,0.24,2.84,0.104,37500000,69900000,8.53E-12,7.10E-12,0.9,8,2.34E-11,LP
144,M,[HB89] 0834-201,Beamed AGN,PKS 0834-20,,fsrq,0.19657366,1328,1.43,0.62,0.62,1.42E-11,3.38E-12,3.05E-12,129.162,-20.253,2.752,1753,2.906150103,0.080398209,5.82E-12,5.94E-13,5.94E-13,25.22679329,129.1309052,-20.44739914,0,0,1.89,0.04,0.177,0.0242,8.27E-06,1.83E-06,1.1,9,1.43,0.358,2.81,0.0919,4180000,5160000,2.63E-11,3.01E-11,1.6,8,1.27E-10,LP
145,M,1RXS J174036.3+521155,Beamed AGN,4C +51.37,,fsrq,0.222479693,1509,1.9,0.58,0.73,8.70E-12,3.11E-12,2.29E-12,265.166,51.971,1.375,4115,2.469561815,0.025136601,2.13E-11,6.03E-13,6.03E-13,797.2457275,265.1357117,52.19269943,0,1,1.82,0.03,0.107,0.00792,6.21E-06,6.82E-07,0.7,12,1.87,0.0765,2.49,0.0251,140000000,138000000,4.88E-12,1.32E-12,0.9,11,1.39E-10,LP
146,M,2MASX J06230765-6436211,Beamed AGN,RX J062308.0-643619,,fsrq,0.11517922,326,1.98,0.45,0.53,1.16E-11,1.62E-12,2.10E-12,95.852,-64.611,0.1289,1290,3.036182165,0.19784984,2.46E-12,4.92E-13,4.92E-13,7.875201225,95.6140976,-64.55770111,1,1,2.1,0.06,0.0903,0.0337,3.09E-06,1.10E-06,1.7,9,1.99,0.284,2.71,0.179,25900000,71300000,4.58E-12,4.54E-12,1.9,8,2.75E-10,LP
147,M,87GB 162418.8+435342,Beamed AGN,MG4 J162551+4346,,fsrq,0.249,806,2.04,0.42,0.5,1.21E-11,1.90E-12,2.31E-12,246.49,43.814,1.048,3654,2.914824486,0.159468755,2.27E-12,4.02E-13,4.02E-13,13.68586159,246.7144012,43.62490082,1,1,2.1,0.07,0.111,0.042,3.69E-06,1.56E-06,1,9,2.06,0.268,2.97,0.222,77800000,183000000,3.89E-12,3.70E-12,0.8,8,1.44E-10,LP
148,M,PKS 2331-240,Beamed AGN,PKS 2331-240,,agn,0.262286677,1199,1.4,0.49,0.5,1.61E-11,3.39E-12,3.83E-12,353.471,-23.694,0.0477,5709,2.501376629,0.091257244,4.42E-12,4.73E-13,4.73E-13,20.34894371,353.7431946,-23.77589989,0,0,2.03,0.04,0.0885,0.0213,3.71E-06,8.80E-07,1.2,11,1.41,0.293,2.57,0.0874,1140000,1120000,3.15E-11,2.95E-11,1.1,10,1.93E-10,LP
149,D,PKS 2153-69,Sy2,PKS 2153-69,,rdg,0.124572497,1130,1.59,0.42,0.45,1.48E-11,3.16E-12,3.27E-12,329.383,-69.697,0.0283,5394,2.873548508,0.107056953,3.67E-12,5.91E-13,5.91E-13,5.219559193,329.0249939,-69.70670319,0,0,1.95,0.07,0.164,0.0435,7.56E-06,3.18E-06,0.2,7,1.59,0.256,3.03,0.288,12800000,16900000,1.77E-11,1.49E-11,0.2,6,2.47E-10,LP
150,D,3C 111.0,Sy1.2,3C 111,,rdg,0.099966433,213,2,0.06,0.06,1.19E-10,2.07E-12,3.38E-12,64.589,38.024,0.0485,876,2.74195385,0.056777671,1.45E-11,1.23E-12,1.23E-12,39.52830887,64.56330109,38.12189865,0,1,2.18,0.01,0.077,0.00692,2.28E-05,1.76E-06,1.1,11,2,0.036,2.73,0.0547,14100000,6110000,4.55E-11,5.72E-12,1.3,10,1.10E-10,LP
151,M,3C 309.1,Beamed AGN,3C 309.1,,css,0.097664805,751,1.8,0.69,0.79,7.65E-12,1.77E-12,1.94E-12,224.475,71.717,0.905,3259,2.499062061,0.063224308,4.33E-12,3.28E-13,3.28E-13,212.1309967,224.7530975,71.6733017,1,1,1.99,0.04,0.0858,0.0134,2.55E-06,4.29E-07,0.6,11,1.79,0.417,2.53,0.0522,8540000,27100000,5.30E-12,7.54E-12,1,10,4.55E-11,LP
152,M,PSR J1420-6048,Pulsar,PSR J1420-6048,HESS J1420-607 field,PSR,0.271733794,719,2.24,0.79,1.04,1.02E-11,3.13E-12,3.17E-12,215.311,-60.577,0,3106,2.418127775,0.044288162,1.42E-10,1.85E-11,1.85E-11,14.46893597,215.0090027,-60.80500031,0,0,1.45,0.09,0.202,0.0309,3.34E-05,1.13E-05,2.4,8,2.23,0.611,2.02,0.0444,42500,43400,2.04E-12,4.57E-12,6.4,7,1.69E-11,LP
153,M,PSR J1723-2837,Pulsar,PSR J1723-2837,,psr,0.3613862,880,0.88,0.88,0.47,1.94E-11,4.48E-12,2.40E-12,260.846,-28.637,0,3986,2.583898306,0.10931962,5.75E-12,1.35E-12,1.35E-12,12.09583282,260.7958069,-28.99570084,0,0,1.8,0.07,0.188,0.0433,1.18E-05,5.00E-06,1.2,9,0.902,0.282,2.84,0.16,1930000,1440000,1.31E-10,1.05E-10,1.1,8,1.55E-09,LP
154,U,CGCG 147-020,Sy2,,SWIFT J0725.8+3000,unk,0.2815,368,2.19,0.68,0.95,9.21E-12,2.57E-12,3.27E-12,111.352,30.018,0.0188,1471,1.606134176,0.224015847,9.39E-13,3.30E-13,3.30E-13,14.88667202,111.2050018,30.26919937,0,0,2.45,0.08,-0.0867,0.0335,2.78E-07,1.44E-07,0.7,9,2.33,0.0433,1.64,0.186,1800000000,719000000,1.20E-12,2.71E-13,0.6,8,3.70E-12,LP
155,U,2MASX J14080674-3023537,Sy1.9,,SWIFT J1408.1-3024,unk,0.1496,706,2.16,0.38,0.44,1.58E-11,2.51E-12,2.65E-12,212.073,-30.379,0.0235,3055,2.589590311,0.0954936,2.40E-12,3.88E-13,3.88E-13,15.6078825,211.9373932,-30.28580093,0,0,2.22,0.04,-0.00836,0.0289,1.79E-06,5.70E-07,1.1,8,2.22,,2.13,,173000000,,2.98E-12,,1.3,7,7.16E-12,LP
156,U,XTE J1817-330,LMXB,,SWIFT J1817.8-3301,unk,0.144,963,1.65,0.38,0.39,1.78E-11,3.18E-12,2.70E-12,274.334,-32.985,0,4430,2.503878832,0.132004529,2.25E-12,4.18E-13,4.18E-13,8.770460129,274.40979,-32.85570145,0,0,2.08,0.06,0.0977,0.0348,4.45E-06,1.65E-06,2.7,8,1.65,0.229,2.56,0.196,1310000,2320000,1.82E-11,1.35E-11,3.1,7,6.47E-11,LP
