id,Flag,bat_name_counterpart,bat_category_type,fermi_name_counterpart,fermi_name_counterpart2,fermi_category_type,separation,bat_id,bat_pindex,bat_pindex_errm,bat_pindex_errp,bat_flux,bat_flux_errm,bat_flux_errp,bat_ra,bat_dec,bat_redshift,fermi_id,fermi_pindex_PL,fermi_pindex_PL_err,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_var_index,fermi_ra,fermi_dec,match_with_1FLE,match_4FGLand1FLE_IDmatch,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
21,M,2MASS J09303759+4950256,Beamed AGN,1ES 0927+500,,bll,0.0690515,1353,2.59,0.5,0.64,7.44E-12,1.71E-12,2.22E-12,142.523,49.878,0.1867,1941,1.82354188,0.124947958,2.30E-12,3.97E-13,3.97E-13,15.57820988,142.6253967,49.85770035,0,0,2.38,0.05,-0.0811,0.0213,3.75E-07,1.27E-07,1.1,10,2.58,0.253,1.73,0.152,24800000,53100000,4.77E-13,4.55E-13,1.3,9,7.79E-13,LP
22,M,2MASS J09343014-1721215,Beamed AGN,RXC J0934.4-1721,,bll,0.038995085,1354,2.73,0.72,1.16,7.93E-12,1.97E-12,2.55E-12,143.587,-17.337,0.2499,1956,1.939345837,0.139492407,2.09E-12,4.77E-13,4.77E-13,8.043386459,143.6278076,-17.33880043,0,0,2.27,0.09,-0.0254,0.0364,9.11E-07,4.68E-07,0.8,9,2.72,,2.15,,87500,,3.20E-13,,0.8,8,7.89E-13,LP
23,M,2MASX J10311847+5053358,Beamed AGN,1ES 1028+511,,bll,0.019858201,499,2.85,0.6,0.83,7.85E-12,1.31E-12,1.68E-12,157.854,50.903,0.3604,2168,1.735062718,0.033864398,1.20E-11,7.32E-13,7.32E-13,12.94198513,157.8453979,50.88389969,0,0,2.23,0.02,-0.07,0.00572,8.21E-07,8.21E-08,1,11,2.86,0.406,1.7,0.0335,1400000,2060000,1.98E-13,3.07E-13,0.7,10,7.71E-13,LP
24,M,2MASX J11033765-2329307,Beamed AGN,1ES 1101-232,,bll,0.045069922,525,2.53,0.51,0.67,1.08E-11,3.01E-12,1.66E-12,165.868,-23.471,0.186,2300,1.766713381,0.0737001,5.46E-12,6.07E-13,6.07E-13,12.72393703,165.9091034,-23.49570084,0,0,2.33,0.03,-0.08,0.0114,6.36E-07,1.16E-07,0.7,11,2.53,0.302,1.71,0.0744,21000000,53600000,8.12E-13,9.17E-13,0.9,10,1.38E-12,LP
25,M,2MASX J11363009+6737042,Beamed AGN,RX J1136.5+6737,,bll,0.032732017,550,2.33,0.33,0.39,1.27E-11,1.53E-12,2.24E-12,174.104,67.645,0.1342,2438,1.746691227,0.047285866,6.29E-12,4.97E-13,4.97E-13,27.51141357,174.1179047,67.61270142,0,0,2.3,0.02,-0.0669,0.00749,8.21E-07,9.55E-08,0.9,10,2.32,0.189,1.77,0.0467,127000000,369000000,1.83E-12,1.27E-12,0.7,9,3.18E-12,LP
26,M,FBQS J1221+3010,Beamed AGN,PG 1218+304,,bll,0.007870938,609,2.94,0.48,0.63,1.06E-11,1.68E-12,1.29E-12,185.343,30.16,0.1836,2636,1.707394958,0.021559468,4.37E-11,1.56E-12,1.56E-12,60.06486893,185.3448944,30.16769981,0,0,2.13,0.01,-0.0585,0.00383,1.75E-06,1.23E-07,1.5,11,2.94,0.324,1.67,0.0215,591000,505000,2.02E-13,2.49E-13,0.6,10,1.85E-12,LP
27,M,[HB89] 1415+259,Beamed AGN,1E 1415.6+2557,,bll,0.040721802,715,2.61,0.7,1.04,5.93E-12,1.73E-12,1.77E-12,214.449,25.72,0.237,3092,1.453926325,0.085487649,3.34E-12,5.09E-13,5.09E-13,8.131951332,214.4940033,25.72380066,0,0,2.43,0.04,-0.122,0.0145,1.93E-07,5.01E-08,0.6,9,2.61,0.415,1.4,0.0898,61000000,165000000,3.36E-13,5.23E-13,0.6,8,4.30E-13,LP
28,M,1ES 1426+428,Beamed AGN,H 1426+428,,bll,0.027124839,726,2.56,0.22,0.23,2.09E-11,1.04E-12,1.50E-12,217.149,42.655,0.129,3146,1.632105827,0.043557055,8.81E-12,6.93E-13,6.93E-13,16.44150162,217.1286011,42.67760086,0,0,2.4,0.02,-0.101,0.0067,8.43E-07,8.84E-08,1.1,10,2.55,0.133,1.59,0.045,46600000,50000000,1.44E-12,7.17E-13,0.8,9,1.98E-12,LP
29,M,[HB89] 1803+784,Beamed AGN,S5 1803+784,,bll,0.056798294,1523,1.93,0.56,0.68,9.08E-12,2.15E-12,2.36E-12,269.889,78.469,0.68,4299,2.210374594,0.012026862,5.42E-11,1.09E-12,1.09E-12,284.3983765,270.1730042,78.4673996,2,1,1.76,0.03,0.0731,0.00493,5.61E-06,6.20E-07,2.4,12,1.81,0.0327,2.25,0.01,135000000,58900000,6.31E-12,7.97E-13,8.7,11,3.19E-11,LP
30,M,QSO B1959+650,Beamed AGN,1ES 1959+650,,bll,0.018887336,1057,2.67,0.18,0.18,2.90E-11,1.83E-12,1.72E-12,299.973,65.158,0.047,4984,1.815919757,0.009765263,1.10E-10,2.06E-12,2.06E-12,1468.348511,300.0109863,65.14790344,0,0,2.07,0.01,-0.0332,0.00174,6.17E-06,1.83E-07,9.3,11,2.66,0.108,1.82,0.00922,343000,122000,1.39E-12,5.65E-13,3.7,10,4.25E-12,LP
31,M,2MASX J23470479+5142179,Beamed AGN,1ES 2344+514,,bll,0.004751644,1204,2.66,0.5,0.65,1.00E-11,1.51E-12,2.13E-12,356.764,51.692,0.044,5740,1.814421296,0.020350832,3.20E-11,1.25E-12,1.25E-12,60.45744705,356.7658997,51.69660187,0,0,2.07,0.02,-0.0313,0.00387,1.97E-06,1.59E-07,4.4,11,2.67,0.333,1.83,0.0176,373000,417000,4.78E-13,5.96E-13,3,10,1.05E-12,LP
32,M,H 2356-309,Beamed AGN,H 2356-309,,bll,0.057867206,1208,2.28,0.37,0.44,1.49E-11,1.85E-12,1.97E-12,359.777,-30.579,0.1651,5781,1.818763733,0.067492358,5.34E-12,5.48E-13,5.48E-13,11.60248566,359.7719116,-30.63669968,0,0,2.32,0.02,-0.0669,0.00962,8.67E-07,1.29E-07,0.5,11,2.26,0.0491,1.78,0.0621,524000000,466000000,2.57E-12,5.48E-13,0.3,10,4.58E-12,LP
33,M,3C 454.3,Beamed AGN,3C 454.3,,FSRQ,0.010978424,1170,1.5,0.05,0.05,1.58E-10,2.79E-12,2.81E-12,343.485,16.149,0.859,5576,2.396775961,0.003253146,9.95E-10,4.63E-12,4.63E-12,56365.36719,343.4963074,16.15060043,2,1,1.63,0,0.142,0.000835,0.000183269,1.97E-06,65.5,12,1.5,0.0304,2.56,0.00256,27600000,5220000,2.39E-10,2.36E-11,372.4,11,2.16E-09,LP
34,M,[HB89] 2230+114,Beamed AGN,CTA 102,,FSRQ,0.030551228,1154,1.49,0.25,0.27,3.01E-11,3.14E-12,3.36E-12,338.178,11.713,1.037,5503,2.286599398,0.004370117,4.90E-10,3.15E-12,3.15E-12,75011.80469,338.1524963,11.73060036,2,1,0.99,0.04,0.218,0.0072,5.60E-06,8.87E-07,16.9,12,1.5,0.157,2.41,0.0032,42500000,51200000,4.62E-11,2.35E-11,207.6,11,6.47E-10,BPL
35,M,PKS 2227-088,Beamed AGN,PKS 2227-08,,FSRQ,0.071719285,1153,1.46,0.51,0.54,1.71E-11,3.17E-12,3.68E-12,337.475,-8.492,1.5595,5499,2.587287188,0.017324587,4.22E-11,9.14E-13,9.14E-13,636.7931519,337.4258118,-8.544699669,2,1,1.7,0.03,0.162,0.00615,1.64E-05,1.48E-06,1.3,11,1.48,0.306,2.65,0.0163,13400000,20400000,2.76E-11,2.73E-11,7.2,10,1.69E-10,LP
36,M,[HB89] 2142-758,Beamed AGN,PKS 2142-75,,FSRQ,0.07353574,1604,1.41,0.48,0.48,1.46E-11,2.24E-12,2.78E-12,327.101,-75.575,1.139,5369,2.440870047,0.013595728,5.64E-11,1.09E-12,1.09E-12,2763.298096,326.8268127,-75.60240173,2,1,1.7,0.02,0.126,0.0049,1.16E-05,1.01E-06,1.1,12,1.42,0.284,2.49,0.0109,9060000,12800000,2.76E-11,2.51E-11,10.5,11,1.79E-10,LP
37,M,QSO B2013+370,Beamed AGN,MG2 J201534+3710,,FSRQ,0.036023195,1070,2.13,0.32,0.36,1.82E-11,2.42E-12,2.05E-12,303.894,37.212,0,5039,2.452852726,0.025322901,7.53E-11,6.65E-12,6.65E-12,125.4726334,303.892395,37.17599869,0,0,1.72,0.03,0.125,0.0101,2.02E-05,2.40E-06,3.6,9,1.93,0.00979,2.78,0.0586,1680000000,,9.42E-12,,1.2,8,1.05E-11,LP
38,M,PKS 1830-21,Beamed AGN,PKS 1830-211,,FSRQ,0.016754516,982,1.47,0.09,0.09,8.73E-11,3.11E-12,3.70E-12,278.424,-21.068,2.5,4543,2.534458876,0.010148437,1.92E-10,2.99E-12,2.99E-12,2473.932129,278.4100952,-21.05739975,2,1,1.74,0.01,0.14,0.00214,6.96E-05,1.71E-06,6.2,12,1.48,0.0566,2.67,0.00695,13200000,3580000,1.42E-10,2.54E-11,47.1,11,7.47E-10,LP
39,M,3C 345,Beamed AGN,3C 345,,FSRQ,0.026149262,828,1.17,0.36,0.35,2.07E-11,3.12E-12,3.30E-12,250.768,39.814,0.5928,3743,2.402047634,0.03021474,3.02E-11,1.18E-12,1.18E-12,202.0652924,250.7341003,39.81639862,0,0,1.85,0.02,0.0917,0.00803,7.91E-06,8.21E-07,1.1,11,1.17,0.213,2.43,0.0316,1300000,761000,7.46E-11,4.84E-11,0.8,10,6.46E-10,LP
40,M,PKS 1622-29,Beamed AGN,PKS B1622-297,,FSRQ,0.034426095,807,1.32,0.66,0.67,1.55E-11,2.90E-12,3.55E-12,246.554,-29.855,0.815,3646,2.564201832,0.022960892,3.91E-11,1.38E-12,1.38E-12,431.7817993,246.5149994,-29.84860039,2,1,1.71,0.03,0.147,0.00729,1.27E-05,1.35E-06,1.3,12,1.34,0.389,2.59,0.0196,6580000,10100000,3.62E-11,4.33E-11,4.6,11,2.23E-10,LP
41,M,PKS 1510-08,Beamed AGN,PKS 1510-089,,FSRQ,0.025431421,762,1.32,0.14,0.15,6.68E-11,3.40E-12,3.17E-12,228.216,-9.081,0.36,3320,2.382528305,0.005171852,4.18E-10,3.36E-12,3.36E-12,5930.063477,228.2147064,-9.106399536,2,1,1.65,0.01,0.124,0.00187,6.17E-05,1.70E-06,0.4,12,1.32,0.0874,2.44,0.00557,7840000,3160000,1.61E-10,4.37E-11,21,11,1.22E-09,LP
42,M,3C 279,Beamed AGN,3C 279,,FSRQ,0.015391797,644,1.32,0.23,0.22,3.88E-11,4.16E-12,3.67E-12,194.053,-5.799,0.5362,2755,2.290018797,0.004610593,4.50E-10,3.13E-12,3.13E-12,30121.30469,194.0415039,-5.788700104,2,1,1.57,0.01,0.123,0.00225,3.86E-05,1.72E-06,6,12,1.32,0.136,2.35,0.00375,8900000,6190000,9.57E-11,4.07E-11,88.2,11,6.52E-10,LP
43,M,3C 273,Beamed AGN,3C 273,,FSRQ,0.008642183,618,1.75,0.02,0.02,4.22E-10,3.08E-12,3.09E-12,187.276,2.047,0.1583,2672,2.704806805,0.010709196,1.14E-10,1.42E-12,1.42E-12,7045.782227,187.2675018,2.045399904,2,1,2.02,0,0.116,0.00165,0.000146008,2.39E-06,9.5,12,1.75,0.00948,2.77,0.00918,9760000,623000,3.26E-10,1.05E-11,15.8,11,1.23E-09,LP
44,M,PG 1222+216,Beamed AGN,4C +21.35,,FSRQ,0.020572033,613,1.7,0.25,0.26,2.45E-11,2.87E-12,2.66E-12,186.221,21.401,0.432,2653,2.341860294,0.006646469,1.97E-10,1.90E-12,1.90E-12,20391.89258,186.2277069,21.38139915,1,1,1.67,0.01,0.114,0.0025,2.58E-05,1.00E-06,1.6,12,1.71,0.0122,2.38,0.00689,114000000,10200000,2.08E-11,1.01E-12,10.4,11,2.27E-10,LP
45,M,4C +49.22,Beamed AGN,4C +49.22,,FSRQ,0.01741661,577,1.83,0.37,0.42,1.28E-11,1.73E-12,2.39E-12,178.344,49.5,0.334,2498,2.411873102,0.030281788,1.58E-11,5.35E-13,5.35E-13,1177.005371,178.3504944,49.51689911,2,1,1.92,0.02,0.086,0.00657,5.68E-06,4.89E-07,1.9,12,1.83,0.233,2.47,0.0254,28000000,69400000,7.86E-12,6.32E-12,3.2,11,9.09E-11,LP
46,M,[HB89] 0836+710,Beamed AGN,4C +71.07,,FSRQ,0.004390389,427,1.7,0.08,0.08,6.98E-11,2.49E-12,2.34E-12,130.349,70.885,2.172,1772,2.819621086,0.013875241,4.77E-11,8.83E-13,8.83E-13,3386.981689,130.3417969,70.88870239,2,1,1.81,0.01,0.202,0.00405,6.85E-05,2.55E-06,18.8,10,1.7,0.05,2.99,0.0152,31100000,8270000,6.15E-11,1.04E-11,28.1,9,2.18E-10,LP
47,M,PMN J0641-0320,Beamed AGN,PMN J0641-0320,,FSRQ,0.045508146,1298,0.96,0.96,0.54,2.19E-11,3.83E-12,4.52E-12,100.48,-3.362,0,1338,2.682496309,0.039849322,2.46E-11,1.62E-12,1.62E-12,357.0725708,100.4371033,-3.346600056,0,0,1.77,0.03,0.153,0.0112,1.25E-05,1.60E-06,1.7,10,0.945,0.34,2.64,0.0398,1610000,1120000,1.36E-10,1.35E-10,3,9,1.28E-09,LP
48,M,PKS 0528+134,Beamed AGN,PKS 0528+134,,FSRQ,0.03226251,281,1.25,0.5,0.48,1.82E-11,3.40E-12,4.72E-12,82.742,13.572,2.06,1097,2.560302973,0.034303341,2.18E-11,1.48E-12,1.48E-12,463.9769592,82.73639679,13.54020023,0,0,1.76,0.03,0.155,0.00943,1.29E-05,1.62E-06,2.9,11,1.26,0.283,2.72,0.0319,5140000,4730000,5.22E-11,4.60E-11,5.7,10,3.34E-10,LP
49,M,PKS 0402-362,Beamed AGN,PKS 0402-362,,FSRQ,0.016671646,205,1.91,0.5,0.61,1.07E-11,1.87E-12,2.48E-12,60.966,-36.072,1.417,841,2.528435707,0.010697705,7.44E-11,9.89E-13,9.89E-13,6080.07959,60.97499847,-36.0870018,2,1,0.51,0.14,0.362,0.0248,5.56E-07,2.48E-07,4.1,12,1.72,0.0247,2.66,0.00885,152000000,19300000,9.92E-12,9.78E-13,35.4,11,3.32E-11,BPL
50,M,PKS 2325+093,Beamed AGN,PKS 2325+093,,fsrq,0.012359252,1196,1.4,0.29,0.29,2.97E-11,3.85E-12,2.85E-12,351.887,9.663,1.843,5683,2.692795277,0.034744851,1.79E-11,9.78E-13,9.78E-13,374.9552307,351.8959045,9.654299736,2,1,1.87,0.02,0.147,0.0107,1.59E-05,1.71E-06,0.8,9,1.4,0.173,2.71,0.0416,4200000,2650000,5.86E-11,3.24E-11,1.6,8,3.09E-10,LP
51,M,87GB 215950.2+503417,Beamed AGN,NRAO 676,,fsrq,0.015803152,1133,1.78,0.3,0.32,1.90E-11,3.00E-12,1.92E-12,330.444,50.82,1.899,5411,2.66044879,0.018754115,5.11E-11,1.40E-12,1.40E-12,3121.675537,330.453186,50.80530167,2,1,1.7,0.02,0.168,0.00534,2.23E-05,1.45E-06,3,11,1.81,0.0295,2.72,0.0179,141000000,35000000,1.22E-11,1.29E-12,9,10,5.84E-11,LP
52,M,PKS 2149-306,Beamed AGN,PKS 2149-306,,fsrq,0.015367025,1128,1.61,0.09,0.08,8.93E-11,4.13E-12,3.10E-12,327.983,-30.463,2.345,5385,2.853699446,0.023570033,3.01E-11,8.90E-13,8.90E-13,963.7789307,327.9655151,-30.45999908,2,1,1.92,0.01,0.175,0.00532,5.21E-05,2.61E-06,4.4,11,1.61,0.0517,2.95,0.0209,10300000,2320000,1.02E-10,1.75E-11,10.5,10,4.02E-10,LP
53,M,[HB89] 1921-293,Beamed AGN,PKS B1921-293,,fsrq,0.062915712,1564,2.04,0.41,0.46,1.62E-11,3.42E-12,3.47E-12,291.218,-29.184,0.3526,4851,2.388073206,0.030106189,2.27E-11,8.11E-13,8.11E-13,279.9699097,291.2135925,-29.24679947,0,0,1.94,0.02,0.0702,0.00698,6.88E-06,6.24E-07,0.8,12,2,0.0197,2.44,0.0359,327000000,97600000,6.37E-12,5.61E-13,0.7,11,9.82E-11,LP
54,M,2MASS J16561677-3302127,Beamed AGN,2MASS J16561677-3302127,,fsrq,0.023892505,846,1.55,0.13,0.12,6.16E-11,3.04E-12,2.76E-12,254.076,-33.037,2.4,3811,2.788760424,0.05769131,1.53E-11,1.60E-12,1.60E-12,131.5129852,254.0946045,-33.01890182,0,0,1.96,0.02,0.158,0.0119,2.85E-05,3.25E-06,0.5,10,1.55,0.0777,2.91,0.0566,6800000,2390000,8.27E-11,2.03E-11,1.3,9,3.37E-10,LP
55,M,[HB89] 1354+195,Beamed AGN,4C +19.44,,fsrq,0.079027959,1434,2.02,0.64,0.85,8.67E-12,2.75E-12,1.94E-12,209.253,19.29,0.72,3003,2.75758934,0.102671713,3.99E-12,4.79E-13,4.79E-13,38.54277802,209.2902069,19.36079979,0,0,1.97,0.05,0.132,0.0278,4.52E-06,1.22E-06,1.2,11,1.98,0.0454,2.74,0.112,70700000,17300000,3.56E-12,7.74E-13,1.1,10,1.15E-10,LP
56,M,[HB89] 1334-127,Beamed AGN,PKS 1335-127,,fsrq,0.013194783,680,2.19,0.48,0.58,1.32E-11,2.66E-12,2.75E-12,204.411,-12.948,0.539,2929,2.421703815,0.03228841,1.81E-11,1.01E-12,1.01E-12,95.44394684,204.423996,-12.95170021,0,0,1.89,0.02,0.0947,0.00644,7.64E-06,7.62E-07,2.1,11,2.01,0.0164,2.78,0.0693,1030000000,134000000,5.37E-12,5.24E-13,0.7,10,6.42E-12,LP
57,M,PKS 1329-049,Beamed AGN,PKS 1329-049,,fsrq,0.031541417,674,1.51,0.46,0.48,1.55E-11,3.46E-12,3.33E-12,202.989,-5.153,2.15,2909,2.514416456,0.019799331,3.48E-11,1.13E-12,1.13E-12,2172.376709,203.0196075,-5.161099911,2,1,1.72,0.03,0.149,0.00674,1.33E-05,1.36E-06,3.9,11,1.51,0.277,2.6,0.0188,13500000,20000000,2.29E-11,2.07E-11,10,10,1.03E-10,LP
58,U,SWIFT J1254.9+1165,U3,ON 187,,fsrq,0.005550749,1411,1.72,0.49,0.56,1.32E-11,2.43E-12,3.00E-12,193.729,11.653,0,2752,2.791098356,0.087357409,5.16E-12,5.47E-13,5.47E-13,28.02040672,193.7333984,11.64949989,0,0,1.94,0.04,0.15,0.024,6.90E-06,1.64E-06,0.9,10,1.73,0.307,2.82,0.0946,13600000,23400000,1.10E-11,1.14E-11,1.1,9,2.02E-10,LP
59,M,4C +04.42,Beamed AGN,4C +04.42,,fsrq,0.047371126,611,1.45,0.2,0.21,3.62E-11,3.56E-12,3.30E-12,185.584,4.219,0.965,2640,2.785894632,0.035268564,1.94E-11,8.83E-13,8.83E-13,160.8666687,185.6271057,4.238900185,0,0,1.86,0.02,0.169,0.0101,2.29E-05,2.27E-06,0.7,10,1.46,0.124,2.84,0.04,6840000,3290000,6.20E-11,2.49E-11,1.9,9,3.40E-10,LP
60,M,FBQS J1159+2914,Beamed AGN,Ton 599,,fsrq,0.044926846,1397,1.84,0.59,0.7,7.49E-12,2.24E-12,2.30E-12,179.933,29.231,0.7247,2524,2.192562819,0.008241056,1.19E-10,1.68E-12,1.68E-12,7709.581055,179.8840027,29.24480057,2,1,1.37,0.11,0.134,0.0167,3.06E-06,1.17E-06,2.1,12,1.73,0.0262,2.3,0.00989,330000000,21900000,6.66E-12,8.94E-13,9.4,11,3.39E-11,LP
61,M,7C 1150+3324,Beamed AGN,B2 1150+33A,,fsrq,0.052995506,1395,1.83,0.47,0.54,1.01E-11,2.12E-12,2.84E-12,178.22,33.089,1.3976,2495,3.013952494,0.169481516,2.78E-12,4.23E-13,4.23E-13,19.16305542,178.2122955,33.14160156,0,0,1.95,0.07,0.197,0.0519,6.74E-06,2.99E-06,1.7,12,1.83,0.294,3.14,0.194,32200000,51000000,6.27E-12,6.37E-12,1.4,11,2.85E-10,LP
62,M,PKS 1143-696,Beamed AGN,PKS 1143-696,,fsrq,0.077454253,568,1.69,0.4,0.44,1.54E-11,3.26E-12,2.99E-12,176.524,-69.903,0.244,2461,2.687502623,0.087572932,5.60E-12,8.73E-13,8.73E-13,34.64306259,176.4382019,-69.83139801,0,0,1.95,0.05,0.136,0.0281,7.31E-06,2.00E-06,0.3,9,1.69,0.248,2.8,0.116,12400000,17200000,1.40E-11,1.16E-11,0.2,8,4.80E-11,LP
63,M,PKS 1127-14,Beamed AGN,PKS 1127-14,,fsrq,0.06459772,544,1.88,0.24,0.26,2.87E-11,3.92E-12,2.13E-12,172.532,-14.797,1.184,2417,2.691802502,0.057937104,8.90E-12,6.78E-13,6.78E-13,408.6453857,172.4651947,-14.79599953,0,0,2.02,0.03,0.115,0.0173,1.08E-05,1.96E-06,0.5,9,1.89,0.15,2.77,0.0833,26500000,31500000,1.52E-11,7.91E-12,0.4,8,2.14E-10,LP
64,M,[HB89] 1039+811,Beamed AGN,S5 1039+81,,fsrq,0.022262188,1374,1.67,0.39,0.43,1.17E-11,2.90E-12,2.05E-12,161.189,80.916,1.26,2219,2.784539938,0.042204097,9.22E-12,9.21E-13,9.21E-13,47.22148132,161.1638031,80.89409637,0,0,1.75,0.03,0.214,0.014,1.39E-05,1.96E-06,3.8,9,1.67,0.24,3.02,0.0512,37400000,46300000,1.14E-11,9.19E-12,5.7,8,4.05E-11,LP
65,U,SWIFT J0949.1+4057,confused source,4C +40.24,,fsrq,0.06338067,1359,2.46,0.71,0.98,7.26E-12,2.07E-12,1.77E-12,147.274,40.574,0,2000,2.607726574,0.104888089,3.15E-12,3.93E-13,3.93E-13,31.62884903,147.261795,40.63669968,0,0,2.06,0.05,0.0886,0.0277,2.88E-06,8.40E-07,1.8,11,2.12,0.0431,2.76,0.185,359000000,236000000,2.28E-12,3.87E-13,1.6,10,4.05E-11,LP
66,M,CGRaBS J0805+6144,Beamed AGN,TXS 0800+618,,fsrq,0.04764474,406,1.35,0.39,0.4,1.75E-11,3.79E-12,2.50E-12,121.311,61.751,3.033,1627,2.796711206,0.053345576,6.70E-12,4.66E-13,4.66E-13,221.1747131,121.3556976,61.79370117,0,0,1.89,0.03,0.168,0.0144,9.36E-06,1.34E-06,0.8,10,1.35,0.234,2.82,0.0529,3620000,2650000,3.93E-11,2.92E-11,1.6,9,2.17E-10,LP
67,M,B2 0743+25,Beamed AGN,B2 0743+25,,fsrq,0.042436717,386,1.43,0.24,0.24,3.60E-11,3.50E-12,3.16E-12,116.587,25.808,2.9793,1549,2.859004021,0.062948167,6.69E-12,6.42E-13,6.42E-13,87.51579285,116.6020966,25.76779938,0,0,1.94,0.02,0.194,0.0154,1.93E-05,2.74E-06,1.4,10,1.44,0.146,3.03,0.0628,5180000,2500000,6.47E-11,3.05E-11,2.4,9,3.20E-10,LP
68,M,PKS 0637-752,Beamed AGN,PKS 0637-75,,fsrq,0.037949936,339,2,0.31,0.35,1.65E-11,1.83E-12,2.79E-12,99.016,-75.28,0.651,1326,2.700873137,0.041716792,1.25E-11,6.06E-13,6.06E-13,448.1832886,98.90219879,-75.30460358,0,0,1.92,0.02,0.125,0.0103,9.47E-06,1.01E-06,1.1,12,1.95,0.0445,2.68,0.0403,88500000,42600000,7.45E-12,1.18E-12,1.2,11,2.69E-10,LP
69,M,[HB89] 0552+398,Beamed AGN,B2 0552+39A,,fsrq,0.020377403,310,1.54,0.39,0.41,2.14E-11,3.42E-12,2.95E-12,88.898,39.808,2.365,1190,2.758912086,0.038799461,1.76E-11,1.03E-12,1.03E-12,153.7549286,88.90149689,39.78779984,0,0,1.82,0.02,0.169,0.0109,1.61E-05,1.80E-06,2.1,10,1.54,0.237,2.78,0.0387,10400000,11300000,2.93E-11,2.26E-11,3.9,9,1.24E-10,LP
70,M,[HB89] 0537-286,Beamed AGN,PKS 0537-286,,fsrq,0.044925403,295,1.33,0.26,0.26,2.90E-11,3.50E-12,2.67E-12,84.967,-28.696,3.104,1140,2.731299877,0.031360026,1.60E-11,6.62E-13,6.62E-13,107.2576294,84.99520111,-28.65850067,0,0,1.86,0.02,0.164,0.00882,1.66E-05,1.47E-06,0.7,11,1.34,0.156,2.79,0.0313,4040000,2010000,6.75E-11,3.32E-11,2.3,10,4.07E-10,LP
71,M,PKS 0524-460,Beamed AGN,PKS 0524-460,,fsrq,0.03522615,276,1.37,0.39,0.4,1.55E-11,3.44E-12,2.69E-12,81.321,-46.008,1.479,1076,2.376130342,0.112584479,3.47E-12,4.68E-13,4.68E-13,7.258853436,81.37169647,-46.00699997,0,0,2.12,0.04,0.0393,0.0228,1.86E-06,5.25E-07,1.6,10,1.37,0.302,2.28,0.0312,87500,17500,3.42E-11,3.71E-11,0.9,9,1.87E-10,LP
72,M,[HB89] 0403-132,Beamed AGN,PKS 0403-13,,fsrq,0.061316021,207,1.78,0.59,0.69,1.10E-11,3.44E-12,2.37E-12,61.356,-13.141,0.5706,845,2.5478158,0.050918248,8.71E-12,5.14E-13,5.14E-13,79.74285889,61.41889954,-13.14379978,0,0,1.93,0.03,0.107,0.0153,5.13E-06,8.32E-07,0.9,11,1.78,0.365,2.54,0.0554,14200000,41900000,7.77E-12,9.68E-12,0.8,10,1.03E-10,LP
73,M,4C +50.11,Beamed AGN,NRAO 150,,fsrq,0.017029534,203,1.51,0.39,0.4,1.72E-11,2.60E-12,3.44E-12,59.903,50.974,1.52,826,2.662116766,0.032641139,3.28E-11,1.88E-12,1.88E-12,769.0371704,59.91579819,50.95899963,0,0,1.75,0.02,0.152,0.00875,1.47E-05,1.55E-06,1.1,11,1.51,0.234,2.67,0.0293,13000000,15300000,2.57E-11,1.95E-11,3.3,10,1.25E-10,LP
74,M,[HB89] 0212+735,Beamed AGN,S5 0212+73,,fsrq,0.072870919,119,1.55,0.18,0.18,3.50E-11,2.43E-12,2.31E-12,34.383,73.808,2.367,480,2.93982172,0.055627629,1.36E-11,9.72E-13,9.72E-13,41.12475204,34.35329819,73.88040161,2,1,1.9,0.03,0.178,0.0151,2.13E-05,3.05E-06,1.5,9,1.55,0.109,2.98,0.0698,10300000,4830000,4.68E-11,1.66E-11,2,8,1.10E-09,LP
75,U,PMN J0145-2733,Unknown AGN,PKS 0142-278,,fsrq,0.042279798,1228,1.43,1.43,1.31,1.07E-11,2.95E-12,3.14E-12,26.211,-27.54,1.155,370,2.603437424,0.03959373,9.83E-12,4.79E-13,4.79E-13,810.1420898,26.25849915,-27.53630066,2,1,1.82,0.03,0.148,0.00984,6.39E-06,8.27E-07,1.9,11,1.43,0.739,2.7,0.0303,5510000,15700000,1.97E-11,4.64E-11,4.2,10,1.04E-10,LP
76,A,ESO 354- G 004,Sy1.9,PMN J0151-3605,,bcu,0.007091854,94,1.98,0.46,0.53,1.12E-11,2.56E-12,2.65E-12,27.869,-36.134,0.0335,384,2.283751011,0.111519471,2.22E-12,3.24E-13,3.24E-13,7.990469933,27.87039948,-36.1269989,0,0,2.18,0.04,0.0326,0.0243,1.65E-06,4.78E-07,0.6,10,1.98,,2.24,0.0179,3.26,9.7,4.76E-11,,0.9,9,1.52E-11,LP
