id,Flag,fermi_name_counterpart,fermi_extended_name,fermi_category_type,num_matched,bat_name_counterpart_nearest,bat_category_type_nearest,sep_nearest,bat_name_counterpart,bat_category_type,sep,fermi_idx,fermi_extended_idx,fermi_ra,fermi_dec,fermi_extended_model_major,fermi_extended_model_minor,fermi_flux,fermi_flux_errm,fermi_flux_errp,fermi_pindex_PL,fermi_pindex_PL_err,fermi_var_index,bat_idx_nearest,bat_idx,bat_flux_errm_nearest_nearest,bat_flux_errp,bat_flux_nearest,bat_pindex_nearest,bat_pindex_errm_nearest,bat_pindex_errp_nearest,LP_alpha,LP_alpha_err,LP_beta,LP_beta_err,LP_K,LP_K_err,LP_redchi2,LP_dof,BPL_index1,BPL_index1_err,BPL_index2,BPL_index2_err,BPL_Eb,BPL_Eb_err,BPL_K,BPL_K_err,BPL_redchi2,BPL_dof,2compModel_Flux1to10MeV,Model
11,M,HESS J1825-137,HESS J1825-137,PWN,2,IGR J18246-1425,Pulsar,0.564689604,['IGR J18246-1425' 'XMMSL1 J182155.0-134719'],['Pulsar' 'HMXB'],[ 0.5646896  0.63315978],4484,55,276.1297913,-13.85210037,0.8,0.8,1.38E-10,8.00E-12,8.00E-12,1.75,0.03,12.02199268,971,[ 971  1534 ],1.79E-12,1.84E-12,1.86E-11,2.8,0.32,0.38,2.01,0.02,-0.0371,0.00592,4.73E-06,4.67E-07,2.1,10,2.8,0.21,1.72,0.03,300000,178000,5.81E-13,4.48E-13,0.8,9,8.00E-12,LP
12,M,HESS J1841-055,HESS J1841-055,PWN,2,AX J1841.0-0535,HMXB,0.106937125,['AX J1841.0-0535' '1E 1841-045'],['HMXB' 'Pulsar'],[ 0.10693712  0.62071797],4594,61,280.230011,-5.550000191,0.6,0.4,1.31E-10,7.35E-12,7.35E-12,1.98,0.03,6.610973358,990,[ 990  991 ],2.55E-12,2.71E-12,2.53E-11,1.91,0.3,0.32,1.89,0.02,0.0176,0.00694,9.00E-06,9.20E-07,1.2,10,1.92,,2.05,0.03,1730000000,,1.20E-11,,1.1,9,7.04E-11,LP
13,M,HESS J1632-478,FGES J1631.6-4756,pwn,1,AX J1631.9-4752,Pulsar,0.087632403,,,,3680,39,247.9219971,-47.93999863,0.3,0.3,2.99E-11,4.30E-12,4.30E-12,1.76,0.09,14.48926544,818,,1.66E-12,2.24E-12,3.12E-10,2.84,0.02,0.02,2.53,0.01,-0.0942,0.00275,9.43E-06,3.13E-07,273.4,9,2.83,0.01,1.77,0.1,12400000,8650000,8.79E-12,3.66E-13,289.1,8,1.00E-11,2comp
14,M,HESS J1837-069,FGES J1836.5-0651,pwn,1,PSR J1838-0655,Pulsar,0.348148975,,,,4561,58,279.1430054,-6.866000175,0.5,0.5,2.16E-10,7.77E-12,7.77E-12,2.04,0.02,8.609386444,986,,2.17E-12,2.75E-12,6.87E-11,1.71,0.11,0.11,1.92,0.01,0.02,0.00462,2.00E-05,1.27E-06,1.3,10,1.71,0.07,2.06,0.03,839000,737000,5.87E-11,1.31E-11,0.7,9,2.90E-10,LP
15,M,HESS J1837-069,FGES J1838.9-0704,pwn,1,PSR J1838-0655,Pulsar,0.297527395,,,,4583,59,279.7449951,-7.066999912,0.5,0.5,6.97E-11,4.84E-12,4.84E-12,1.85,0.04,16.29022408,986,,2.17E-12,2.75E-12,6.87E-11,1.71,0.11,0.11,2.08,0.02,-0.0152,0.00775,9.45E-06,1.03E-06,4.9,10,2.09,,2.05,,1750,,1.43E-11,,5.8,9,2.04E-10,LP
16,F,SNR G150.3+04.5,G150.3+4.5,SNR,1,XTE J0421+560,HMXB,1.153456205,,,,897,4,66.81500244,55.55400085,1.5,1.5,4.12E-11,2.29E-12,2.29E-12,1.68,0.03,8.712740898,214,,1.68E-12,2.75E-12,1.20E-11,2.27,0.42,0.51,2.09,0.02,-0.0442,0.0065,1.89E-06,2.33E-07,2.3,9,2.27,0.26,1.71,0.04,12500000,35600000,2.04E-12,1.91E-12,2.1,8,3.46E-12,2comp
17,U,Sim 147,S 147,SNR,1,SWIFT J053457.91+282837.9,U2,1.282299483,,,,1145,11,85.09999847,27.94000053,1.5,1.5,5.65E-11,3.31E-12,3.31E-12,2.18,0.03,6.675788403,288,,2.78E-12,2.82E-12,1.23E-11,2.35,0.55,0.72,1.85,0.03,0.0526,0.0065,7.03E-06,7.85E-07,2.5,12,2.2,,2.01,0.01,15100,,3.49E-12,,10.5,11,3.08E-12,2comp
18,F,Monoceros,Monoceros,SNR,1,2MASX J06262702+0727287,Unknown AGN,3.23746581,,,,1333,14,99.86000061,6.929999828,3.5,3.5,9.05E-11,6.54E-12,6.54E-12,2.3,0.03,8.468507767,332,,3.16E-12,2.26E-12,1.58E-11,1.87,0.45,0.52,1.75,0.03,0.0825,0.014,1.22E-05,1.85E-06,1.4,9,1.84,0.02,2.47,0.23,677000000,326000000,9.66E-12,1.01E-12,0.7,8,2.38E-11,2comp
19,M,RX J0852.0-4622,Vela Junior,SNR,1,PSR J0855-4644,Pulsar,0.784312925,,,,1812,17,132.9869995,-46.34199905,1,1,1.21E-10,3.30E-12,3.30E-12,1.79,0.02,12.53390026,1341,,2.91E-12,1.98E-12,1.01E-11,2.06,0.54,0.61,1.92,0.02,-0.0155,0.00427,3.21E-06,3.06E-07,1.9,11,2.04,0.31,1.8,0.02,1280000,6550000,3.48E-12,3.85E-12,2.5,10,1.54E-11,2comp
20,A,SNR G337.0-00.1,G337.0-0.1,SNR,2,SGR 1627-41,Gamma-ray source,0.092302059,['SGR 1627-41' 'IGR J16358-4726'],['Gamma-ray source' 'Pulsar'],[ 0.09230206  0.12542115],3700,41,249.0789948,-47.52299881,0.1,0.1,1.02E-10,9.46E-12,9.46E-12,2.34,0.03,7.045560837,1482,[ 1482  1483 ],3.72E-12,3.91E-12,1.38E-11,1.81,0.72,0.81,1.65,0.03,0.112,0.00859,1.50E-05,2.29E-06,0.4,10,1.81,0.03,2.54,0.04,870000000,238000000,9.04E-12,1.44E-12,1,9,3.08E-11,LP
